Model,RMSE,MAE,R²,Time
Support Vector Regression,0.006140897152673348,0.005434352342513502,0.9999999982490062,17790.96
LSTM,83.1373135639461,60.86344378028553,0.6790680698634344,386.7
XGBoost,85.81864390589114,63.08596529391113,0.6580329599001775,2.93
Random Forest,85.8353642120499,63.16849266829612,0.6578996939720777,37.1
KNN Regressor,85.88361424322828,62.931716379980294,0.6575149809838348,4.43
Linear Regression,138.38404276003183,117.7466694982489,0.11081325092695193,0.44
Transformer,139.82396448816226,115.98135571893674,0.0922125433671015,829.36
