Model,RMSE,MAE,R²,Time
KNN Regressor,68.3906793536038,51.68007835920853,0.6938619206306575,0.32
XGBoost,68.83652311403156,51.86157631113178,0.6898574379417894,0.98
Random Forest,69.24307922601858,52.3283668702337,0.6861831470202377,9.9
LSTM,76.14954231219525,59.84272278724798,0.6204595113014736,64.11
Linear Regression,86.4758947196068,69.62957989585414,0.510544012155278,0.17
Support Vector Regression,102.55635369877776,82.57558324365762,0.3115876377378789,163.68
Transformer,123.75794567669824,102.55339338947452,-0.0024661134145838037,163.76
