Model,RMSE,MAE,R²,Time
Support Vector Regression,9.224388659992638,5.113822232824238,0.9953476687589049,1495.97
XGBoost,96.52049989167607,75.52978881196788,0.4906285878658766,1.67
Random Forest,96.55125282483147,74.28103270543056,0.4903039488408152,19.94
KNN Regressor,97.78343695292276,74.80110545080133,0.4772114849818707,1.41
LSTM,107.89815578761412,83.13849009818392,0.36346324550425335,214.19
Linear Regression,118.53938993120643,97.78382838580545,0.23171771810595376,0.27
Transformer,128.20269441408112,97.04477542641655,0.10135171966183465,543.19
